,b,class
926,1,1
931,1,1
949,1,1
963,1,1
974,1,1
977,1,1
1003,1,1
1004,1,1
1013,1,1
1021,1,1
1028,1,1
1032,1,1
1033,1,1
1036,1,1
1040,1,1
1041,1,1
1055,1,1
1071,1,1
1077,1,1
1085,1,1
1089,1,1
1092,1,1
1097,1,1
1099,1,1
1108,1,1
1111,1,1
1114,1,1
1120,1,1
1131,1,1
1133,1,1
1136,1,1
1139,1,1
1149,1,1
1153,1,1
1158,1,1
1159,1,1
1160,1,1
1161,1,1
1162,1,1
1171,1,1
1173,1,1
1176,1,1
1178,1,1
1182,1,1
1183,1,1
1185,1,1
1188,1,1
1190,1,1
1195,1,1
1200,1,1
1205,1,1
1209,1,1
1210,1,1
1211,1,1
1212,1,1
1214,1,1
1216,1,1
1217,1,1
1218,1,1
1231,1,1
1233,1,1
1243,1,1
1245,1,1
1248,1,1
1847,0,2
1850,0,2
1854,0,2
1855,0,2
1859,0,2
1860,0,2
1861,0,2
1866,0,2
1867,0,2
1868,0,2
1871,0,2
1872,0,2
1873,0,2
1874,0,2
1876,0,2
1877,0,2
1878,0,2
1879,0,2
1880,0,2
1881,0,2
1883,0,2
1884,0,2
1885,0,2
1886,0,2
1887,0,2
1888,0,2
1889,0,2
1890,0,2
1891,0,2
1892,0,2
1893,0,2
1894,0,2
1895,0,2
1897,0,2
1898,0,2
1899,0,2
1900,0,2
1901,0,2
1902,0,2
1903,0,2
1904,0,2
1905,0,2
1906,0,2
1907,0,2
1908,0,2
1909,0,2
1910,0,2
1911,0,2
1912,0,2
1913,0,2
1914,0,2
1915,0,2
1916,0,2
1917,0,2
1918,0,2
1919,0,2
1920,0,2
1921,0,2
1922,0,2
1923,0,2
1924,0,2
1925,0,2
1926,0,2
1927,0,2
1928,0,2
1929,0,2
1930,0,2
1931,0,2
1932,0,2
1933,0,2
1934,0,2
1935,0,2
1936,0,2
1937,0,2
1938,0,2
1939,0,2
1940,0,2
1941,0,2
1942,0,2
1943,0,2
1944,0,2
1945,0,2
1946,0,2
1947,0,2
1948,0,2
1949,0,2
1950,0,2
1951,0,2
1952,0,2
1953,0,2
1954,0,2
1955,0,2
1956,0,2
1957,0,2
1958,0,2
1959,0,2
1960,0,2
1961,0,2
1962,0,2
1963,0,2
1964,0,2
1965,0,2
1966,0,2
1967,0,2
1968,0,2
1969,0,2
1970,0,2
1971,0,2
1972,0,2
1973,0,2
1974,0,2
1975,0,2
1976,0,2
1977,0,2
1978,0,2
1979,0,2
1980,0,2
1981,0,2
1982,0,2
1983,0,2
1984,0,2
1985,0,2
1986,0,2
1987,0,2
1988,0,2
1989,0,2
1990,0,2
1991,0,2
1992,0,2
1993,0,2
1994,0,2
1995,0,2
1996,0,2
1997,0,2
1998,0,2
1999,0,2
2000,0,2
2001,0,2
2002,0,2
2003,0,2
2004,0,2
2005,0,2
2006,0,2
2007,0,2
2008,0,2
2009,0,2
2010,0,2
2011,0,2
2012,0,2
2013,0,2
2014,0,2
2015,0,2
2016,0,2
2017,0,2
2018,0,2
2019,0,2
